Song_ID,Daily Stream,Total Stream,Extract_Date
5N3hjp1WNayUPZrA8kJmJP,10019763,212659235,2024-06-28 11:11:02
2qSkIjg1o9h3YT9RAgYN75,9833371,673300010,2024-06-28 11:11:02
6dOtVTDdiauQNBQEDOtlAB,8743507,326343547,2024-06-28 11:11:02
6AI3ezQ4o3HUoP6Dhudph3,6088670,393203735,2024-06-28 11:11:02
6XjDF6nds4DE2BBbagZol6,5959615,730809454,2024-06-28 11:11:02
7fzHQizxTqy8wTXwlrgPQQ,5926884,470184446,2024-06-28 11:11:02
0WbMK4wrZ1wFSty9F7FCgu,5214638,225562186,2024-06-28 11:11:02
3xkHsmpQCBMytMJNiDf3Ii,5202217,958040904,2024-06-28 11:11:02
5Z0UnEtpLDQyYlWwgi8m9C,5027476,598239156,2024-06-28 11:11:02
2FQrifJ1N335Ljm3TjTVVf,5003070,374184501,2024-06-28 11:11:02
7221xIgOnuakPdLqT0F3nP,4941838,312945709,2024-06-28 11:11:02
2HYFX63wP3otVIvopRS99Z,4234655,171023627,2024-06-28 11:11:02
6WatFBLVB0x077xWeoVc2k,4218917,20593999,2024-06-28 11:11:02
2GxrNKugF82CnoRFbQfzPf,4168023,633546612,2024-06-28 11:11:02
629DixmZGHc7ILtEntuiWE,4105573,282624641,2024-06-28 11:11:02
1pymWRCuZfCd0zdiBJo0Hj,3875184,83357453,2024-06-28 11:11:02
51ZQ1vr10ffzbwIjDCwqm4,3601709,629278146,2024-06-28 11:11:02
3qhlB30KknSejmIvZZLjOD,3575336,697686427,2024-06-28 11:11:02
17phhZDn6oGtzMe56NuWvj,3509973,752116515,2024-06-28 11:11:02
3Vr3zh0r7ALn8VLqCiRR10,3494762,157495291,2024-06-28 11:11:02
2OzhQlSqBEmt7hmkYxfT6m,3378509,438107774,2024-06-28 11:11:02
4Dvkj6JhhA12EX05fT7y2e,3322874,3291691859,2024-06-28 11:11:02
7BRD7x5pt8Lqa1eGYC4dzj,3299555,216833853,2024-06-28 11:11:02
1BxfuPKGuaTgP7aM0Bbdwr,3166056,1789122600,2024-06-28 11:11:02
7CyPwkp0oE8Ro9Dd5CUDjW,3122110,877946500,2024-06-28 11:11:02
7iabz12vAuVQYyekFIWJxD,2999506,135584307,2024-06-28 11:11:02
2QjOHCTQ1Jl3zawyYOpxh6,2930020,2336447380,2024-06-28 11:11:02
2uqYupMHANxnwgeiXTZXzd,2922405,288438836,2024-06-28 11:11:02
5bi0gh89wRuH2OgjdAKFsb,2886726,238121999,2024-06-28 11:11:02
5uQ7de4EWjb3rkcFxyEOpu,2747647,252616025,2024-06-28 11:11:02
7bywjHOc0wSjGGbj04XbVi,2742677,634934474,2024-06-28 11:11:02
3AJwUDP919kvQ9QcozQPxg,2630040,1599382642,2024-06-28 11:11:02
5ZLL6wYXeqg0k35ZkDRfhZ,2621138,13908668,2024-06-28 11:11:02
5g7sDjBhZ4I3gcFIpkrLuI,2549845,981659454,2024-06-28 11:11:02
3hRV0jL3vUpRrcy398teAU,2504641,977424070,2024-06-28 11:11:02
5XeFesFbtLpXzIVDNQP22n,2495959,1701225523,2024-06-28 11:11:02
2Zo1PcszsT9WQ0ANntJbID,2489216,401303981,2024-06-28 11:11:02
331l3xABO0HMr1Kkyh2LZq,2449617,142552684,2024-06-28 11:11:02
7yq4Qj7cqayVTp3FF9CWbm,2408860,1681989765,2024-06-28 11:11:02
4q5YezDOIPcoLr8R81x9qy,2389683,282389961,2024-06-28 11:11:02
51eSHglvG1RJXtL3qI5trr,2335648,237229061,2024-06-28 11:11:02
2tudvzsrR56uom6smgOcSf,2325332,383072580,2024-06-28 11:11:02
1Qrg8KqiBpW07V7PNxwwwL,2283932,1876538199,2024-06-28 11:11:02
6dgUya35uo964z7GZXM07g,2263678,773845400,2024-06-28 11:11:02
5Uptvz6j1sjDKxidAcnH2L,2247269,75396293,2024-06-28 11:11:02
1bjeWoagtHmUKputLVyDxQ,2234110,367362262,2024-06-28 11:11:02
0mflMxspEfB0VbI1kyLiAv,2231152,756976470,2024-06-28 11:11:02
6jlG8gBPNAgBgoivw2Ig09,2222567,18537890,2024-06-28 11:11:02
3Ua0m0YmEjrMi9XErKcNiR,2220147,921351694,2024-06-28 11:11:02
7BqBn9nzAq8spo5e7cZ0dJ,2203238,653802588,2024-06-28 11:11:02
42VsgItocQwOQC3XWZ8JNA,2167683,636120508,2024-06-28 11:11:02
3rUGC1vUpkDG9CZFHMur1t,2145999,1265035634,2024-06-28 11:11:02
4xdBrk0nFZaP54vvZj0yx7,2112508,26747983,2024-06-28 11:11:02
7KA4W4McWYRpgf0fWsJZWB,2082113,868291667,2024-06-28 11:11:02
7x9aauaA9cu6tyfpHnqDLo,2078093,1510814687,2024-06-28 11:11:02
4DHcnVTT87F0zZhRPYmZ3B,2060017,2039756147,2024-06-28 11:11:02
0hhzNPE68LWLfgZwdpxVdR,2042394,13147939,2024-06-28 11:11:02
63pLfjK6FvcYJYMGwtHjd6,2035928,42129120,2024-06-28 11:11:02
5ww2BF9slyYgNOk37BlC4u,2023944,1718156241,2024-06-28 11:11:02
1C84d9abZVKWHT2YYpoean,1988159,167540542,2024-06-28 11:11:02
3QaPy1KgI7nu9FJEQUgn6h,1984372,128411082,2024-06-28 11:11:02
4ZJ4vzLQekI0WntDbanNC7,1947685,95066499,2024-06-28 11:11:02
0h3Xy4V4apMraB5NuM8U7Z,1946227,151098662,2024-06-28 11:11:02
7jtQIBanIiJOMS6RyCx6jZ,1944617,2037203806,2024-06-28 11:11:02
0Lmbke3KNVFXtoH2mMSHCw,1937770,161265790,2024-06-28 11:11:02
0LZy30mVmxqUpdQmaXKXBd,1929086,142761117,2024-06-28 11:11:02
7MXVkk9YMctZqd1Srtv4MB,1864721,2512394529,2024-06-28 11:11:02
5MPi9e7z46wopyad10R6qx,1854154,38051094,2024-06-28 11:11:02
4IFd7EVCyJsUHesBMXI8ju,1850756,10467521,2024-06-28 11:11:02
1aKvZDoLGkNMxoRYgkckZG,1840351,267639765,2024-06-28 11:11:02
